timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329559.5378067,31.951,14.250,0.012,65.694,15.22,0,0.000
1773329559.6044006,34.868,14.814,0.011,65.646,15.23,0,0.000
1773329559.6712,32.262,14.727,0.011,65.984,15.16,0,0.000
1773329559.7378154,32.314,14.738,0.012,65.573,15.25,0,0.000
1773329559.8042715,31.998,14.253,0.010,65.575,15.25,0,0.000
1773329559.870992,33.034,15.636,0.014,65.600,15.24,0,0.000
1773329559.9377503,32.178,14.953,0.010,65.956,15.16,0,0.000
1773329560.0054088,31.823,14.323,0.012,66.378,15.07,0,0.000
1773329560.0709794,35.019,14.487,0.013,64.631,15.47,0,0.000
1773329560.139764,32.092,14.220,0.013,67.839,14.74,0,0.000
1773329560.20416,29.757,14.972,0.011,63.459,15.76,0,0.000
1773329560.2710814,33.938,14.233,0.010,65.916,15.17,0,0.000
1773329560.3375134,31.859,14.192,0.013,65.561,15.25,0,0.000
1773329560.4041853,32.082,14.268,0.013,65.650,15.23,0,0.000
1773329560.470707,32.680,14.781,0.013,65.571,15.25,0,0.000
1773329560.5374389,32.134,14.249,0.014,65.721,15.22,0,0.000
1773329560.6040504,31.880,14.532,0.012,65.628,15.24,0,0.000
1773329560.6707895,33.063,14.293,0.013,65.731,15.21,0,0.000
1773329560.7373447,31.938,14.325,0.012,65.601,15.24,0,0.000
1773329560.8039782,32.019,14.219,0.010,65.603,15.24,0,0.000
1773329560.8707814,31.762,14.646,0.014,65.535,15.26,0,0.000
1773329560.9373376,32.079,14.323,0.014,65.498,15.27,0,0.000
1773329561.0058515,31.998,14.294,0.013,67.699,14.77,0,0.000
1773329561.0708358,30.713,14.292,0.014,64.032,15.62,0,0.000
1773329561.1372814,31.855,14.497,0.015,65.642,15.23,0,0.000
1773329561.2038267,32.109,14.495,0.013,65.601,15.24,0,0.000
1773329561.2704155,31.980,14.276,0.012,65.708,15.22,0,0.000
1773329561.3369803,33.313,14.301,0.011,65.614,15.24,0,0.000
1773329561.403727,33.906,14.399,0.031,65.954,15.16,0,0.000
1773329561.470375,32.165,14.286,0.013,65.694,15.22,0,0.000
1773329561.537018,31.923,14.269,0.014,65.688,15.22,0,0.000
1773329561.6038268,33.156,15.387,0.011,65.869,15.18,0,0.000
1773329561.6703215,32.920,14.262,0.012,65.695,15.22,0,0.000
1773329561.7368505,33.112,14.353,0.024,65.494,15.27,0,0.000
1773329561.804604,32.193,14.324,0.014,66.939,14.94,0,0.000
1773329561.8703585,30.835,15.485,0.016,64.418,15.52,0,0.000
1773329561.9367788,32.893,14.418,0.012,65.598,15.24,0,0.000
1773329562.0037296,32.252,14.320,0.012,66.030,15.14,0,0.000
1773329562.0700102,31.861,14.481,0.011,65.426,15.28,0,0.000
1773329562.1374526,33.471,14.449,0.011,66.501,15.04,0,0.000
1773329562.2047658,31.325,14.449,0.013,66.392,15.06,0,0.000
1773329562.2701457,30.815,14.273,0.013,64.443,15.52,0,0.000
1773329562.3368394,32.682,15.280,0.014,65.427,15.28,0,0.000
1773329562.4048867,31.982,14.295,0.013,67.091,14.91,0,0.000
1773329562.470074,30.191,14.250,0.014,64.086,15.60,0,0.000
1773329562.5379176,32.977,14.497,0.014,66.808,14.97,0,0.000
1773329562.6031954,30.669,14.322,0.010,64.343,15.54,0,0.000
1773329562.6699228,32.431,14.356,0.013,65.752,15.21,0,0.000
1773329562.7365499,31.983,14.319,0.014,65.723,15.22,0,0.000
1773329562.8031347,32.171,14.629,0.012,65.642,15.23,0,0.000
1773329562.8698473,29.197,14.336,0.012,62.921,15.89,0,0.000
1773329562.9370773,32.134,14.398,0.013,66.226,15.10,0,0.000
1773329563.0042489,31.441,14.262,0.012,66.363,15.07,0,0.000
1773329563.0709708,31.228,14.457,0.013,65.757,15.21,0,0.000
1773329563.1365333,30.845,14.415,0.017,64.606,15.48,0,0.000
1773329563.203713,32.045,14.281,0.013,66.251,15.09,0,0.000
1773329563.2695878,31.343,14.276,0.013,65.033,15.38,0,0.000
1773329563.336246,34.146,14.627,0.010,65.725,15.21,0,0.000
1773329563.4029107,32.272,14.339,0.013,65.872,15.18,0,0.000
1773329563.469593,32.254,14.532,0.012,65.714,15.22,0,0.000
1773329563.5361733,32.177,14.319,0.010,65.772,15.20,0,0.000
